Title,Type,Epic,Sprint,Priority,Estimate,Labels,Body
"EPIC 1 - Fundacao, Auth e Tenanting","Epic","E1","S1","P0","8","epic,backend,security","Base tecnica do MVP: auth Clerk + segregacao multi-tenant + RBAC."
"Historia 1.1 - Auth por organizacao","Story","E1","S1","P0","5","story,backend,frontend,security","Login/logout funcional; validacao de orgId no backend; respostas 401/403 corretas."
"Historia 1.2 - RBAC (Admin, Dentista, Auxiliar)","Story","E1","S1","P0","5","story,backend,security","Persistir papel por usuario e aplicar autorizacao por endpoint."
"EPIC 2 - Pacientes e Prontuario","Epic","E2","S1","P0","13","epic,backend,frontend","CRUD de pacientes, busca, timeline e base do prontuario."
"Historia 2.1 - CRUD pacientes","Story","E2","S1","P0","8","story,backend,frontend","Criar/listar/editar/arquivar paciente com validacao e segregacao por org."
"Historia 2.2 - Timeline clinica","Story","E2","S1","P1","5","story,backend,frontend","Eventos ordenados e filtros minimos por tipo/data."
"EPIC 3 - Anamnese Segura","Epic","E3","S2","P0","13","epic,backend,frontend,security","Fluxo completo de anamnese por link seguro e PDF."
"Historia 3.1 - Token de anamnese","Story","E3","S2","P0","5","story,backend,security","Token unico e expiracao configuravel."
"Historia 3.2 - Formulario publico","Story","E3","S2","P0","5","story,frontend","Formulario sem login com validacao e persistencia."
"Historia 3.3 - PDF anamnese","Story","E3","S2","P1","3","story,backend,frontend","Gerar PDF e anexar ao prontuario."
"EPIC 4 - Exames, OCR e Curadoria","Epic","E4","S3","P0","21","epic,backend,frontend,ocr","Upload de exames, extracao de marcadores e revisao humana."
"Historia 4.1 - Upload de exame","Story","E4","S3","P0","5","story,backend,frontend","Upload validado e status de processamento."
"Historia 4.2 - OCR e parser","Story","E4","S3","P0","8","story,backend,ocr","Pipeline assincrono para extracao estruturada."
"Historia 4.3 - Curadoria","Story","E4","S3","P1","8","story,frontend","UI para revisar e corrigir marcadores extraidos."
"EPIC 5 - Analise Metodologica","Epic","E5","S4","P1","13","epic,backend","Motor de regras com sugestoes explicaveis."
"Historia 5.1 - Sugestoes diagnosticas","Story","E5","S4","P1","8","story,backend","Sugestoes com score e evidencias."
"Historia 5.2 - Validacao profissional","Story","E5","S4","P1","5","story,frontend,backend","Aprovar/rejeitar sugestoes com auditoria."
"EPIC 6 - Prescricao Assistida","Epic","E6","S4","P1","13","epic,backend,frontend","Fluxo de prescricao com templates e PDF."
"Historia 6.1 - Prescricao com template","Story","E6","S4","P1","8","story,backend,frontend","Gerar prescricao inicial e permitir edicao."
"Historia 6.2 - PDF final de prescricao","Story","E6","S4","P1","5","story,backend,frontend","Documento final versionado e rastreavel."
"EPIC 7 - Billing e Planos","Epic","E7","S4","P0","8","epic,billing,backend,frontend","Assinatura Stripe e bloqueio por plano."
"Historia 7.1 - Checkout + Billing Portal","Story","E7","S4","P0","5","story,billing,backend,frontend","Checkout funcional e portal de assinatura."
"Historia 7.2 - Entitlements por plano","Story","E7","S4","P0","3","story,backend","Bloqueio de recursos por assinatura."
"EPIC 8 - Compliance, Qualidade e Operacao","Epic","E8","S1","P0","8","epic,infra,security","Auditoria, observabilidade e operacao segura."
"Historia 8.1 - Audit log","Story","E8","S1","P0","3","story,backend,security","Rastrear alteracoes criticas e acessos."
"Historia 8.2 - Monitoramento","Story","E8","S1","P0","3","story,infra","Dashboards de logs/traces e alertas basicos."
"Historia 8.3 - Exportacao de dados","Story","E8","S2","P1","2","story,backend,security","Exportacao minima de dados por paciente (LGPD)."
